OBJECTID,FIPS,COUNTY,STATE,POPULATION,SQMI,mean_price_30_night_NoNull,mean_price_1_night_NoNull,Point_Count_1_NoNull,Shape_Length,Shape_Area,mean_price_01,mean_price_02,mean_price_03,mean_price_04,mean_price_05,mean_price_06,mean_price_07,mean_price_08,mean_price_09,mean_price_10,mean_price_11,mean_price_12,mean_price_13,mean_price_14,mean_price_15,mean_price_16,mean_price_17,mean_price_18,mean_price_19,mean_price_20,mean_price_21,mean_price_22,mean_price_23,mean_price_24,mean_price_25,mean_price_26,mean_price_27,mean_price_28,mean_price_29,mean_price_30,mean_price_31,Point_Count
203,06073002202,San Diego,CA,5028,0.19,9236.9449,307.897764,2.66234,9172.552502,5175132.761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
204,06073002301,San Diego,CA,2835,0.16,9236.9449,307.897764,2.66234,10245.78434,4553452.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
205,06073002302,San Diego,CA,6576,0.2,9236.9449,307.897764,2.66234,9659.280545,5720837.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
206,06073002402,San Diego,CA,5351,0.19,9236.9449,307.897764,2.66234,9817.728297,5540302.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
207,06073002501,San Diego,CA,5483,0.49,9236.9449,307.897764,2.66234,17455.88043,13692325.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
208,06073002502,San Diego,CA,6363,0.72,9236.9449,307.897764,2.66234,22532.47999,20041039.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
209,06073002601,San Diego,CA,6300,0.32,9236.9449,307.897764,2.66234,12082.84146,8997713.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
210,06073002602,San Diego,CA,4496,0.3,9236.9449,307.897764,2.66234,11932.10291,8200645.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
211,06073002702,San Diego,CA,5235,0.53,9236.9449,307.897764,2.66234,15730.07789,14810609.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
212,06073002703,San Diego,CA,6986,0.76,9236.9449,307.897764,2.66234,25735.66496,20894946.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
213,06073002705,San Diego,CA,4335,0.48,9236.9449,307.897764,2.66234,18061.55052,13431581.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
214,06073002707,San Diego,CA,5267,0.15,9236.9449,307.897764,2.66234,8447.616796,4126924.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
215,06073002708,San Diego,CA,5950,0.24,9236.9449,307.897764,2.66234,10741.36201,6810396.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
216,06073002709,San Diego,CA,3818,0.24,9236.9449,307.897764,2.66234,12872.82964,6737870.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
217,06073002710,San Diego,CA,4309,0.26,9236.9449,307.897764,2.66234,15389.14718,7193455.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
218,06073002711,San Diego,CA,3217,0.56,9236.9449,307.897764,2.66234,19078.51027,15454615.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
219,06073002712,San Diego,CA,4678,0.85,9236.9449,307.897764,2.66234,26104.77268,23676112.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
220,06073002801,San Diego,CA,3247,1.1,9236.9449,307.897764,2.66234,25664.78487,30707349.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
221,06073002803,San Diego,CA,5478,0.42,5191,173,1,17053.93058,11739185.75,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,1
222,06073002804,San Diego,CA,4699,0.57,9236.9449,307.897764,2.66234,15694.84825,15775849.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
223,06073002902,San Diego,CA,5357,0.62,9236.9449,307.897764,2.66234,20162.37935,17148433.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
224,06073002903,San Diego,CA,3717,0.54,9236.9449,307.897764,2.66234,15855.35689,15116651.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
225,06073002904,San Diego,CA,7893,0.7,9236.9449,307.897764,2.66234,19455.38668,19522581.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
226,06073002905,San Diego,CA,4177,0.44,9236.9449,307.897764,2.66234,18687.87674,12302953.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
227,06073003003,San Diego,CA,5198,1.26,9236.9449,307.897764,2.66234,33531.9925,30250286.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
228,06073003401,San Diego,CA,6227,1.08,9236.9449,307.897764,2.66234,25862.62344,30161140.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
229,06073009506,San Diego,CA,4077,0.6,9236.9449,307.897764,2.66234,20797.96738,16580864.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
230,06073009507,San Diego,CA,3569,1.65,9236.9449,307.897764,2.66234,29793.44084,46195088.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
231,06073009509,San Diego,CA,4267,2.02,9236.9449,307.897764,2.66234,40097.24631,56277013.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
232,06073009510,San Diego,CA,5269,0.63,9236.9449,307.897764,2.66234,19867.50322,17601103.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
233,06073009511,San Diego,CA,4515,0.56,9236.9449,307.897764,2.66234,19706.10581,15465002.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
234,06073009602,San Diego,CA,3677,0.74,5936,198,1,21068.84392,20452043.49,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,1
235,06073009603,San Diego,CA,4570,0.67,9236.9449,307.897764,2.66234,17421.98716,18568818.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
236,06073009604,San Diego,CA,3227,0.7,9236.9449,307.897764,2.66234,20023.11914,19598318.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
237,06073009703,San Diego,CA,3471,0.64,9236.9449,307.897764,2.66234,22338.51106,17786388.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
238,06073009704,San Diego,CA,5759,1.21,6495,216.5,2,28024.07926,33734329.39,216.5,206.5,190.5,196,199,199,198.5,216.5,303.5,291.5,291.5,208.5,199,216.5,204,204,196.5,196.5,196.5,196.5,196.5,206.5,206.5,196.5,196.5,196.5,209,209,239,216.5,234,2
239,06073009705,San Diego,CA,3867,0.93,3133,104.5,2,21120.67589,26049600.85,117.5,121,85.5,83,82.5,83.5,86.5,112.5,120.5,88,94,83,83.5,84,112.5,114,98,90,82.5,83.5,84,118,121,100.5,84.5,90.5,85,84.5,121,123,102.5,2
240,06073009706,San Diego,CA,7104,2.48,9236.9449,307.897764,2.66234,43716.21084,68713314.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
241,06073009801,San Diego,CA,5084,0.81,9236.9449,307.897764,2.66234,25220.04397,22544219.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
242,06073009805,San Diego,CA,4731,2.87,9236.9449,307.897764,2.66234,38504.10146,79946344.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
243,06073014101,San Diego,CA,3521,0.52,9236.9449,307.897764,2.66234,9369.974822,177919.0626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
244,06073014200,San Diego,CA,6364,0.87,9236.9449,307.897764,2.66234,6756.924221,59076.14629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
245,06073014500,San Diego,CA,3957,0.45,9236.9449,307.897764,2.66234,9925.337419,105253.1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
246,06073014700,San Diego,CA,7546,0.96,9236.9449,307.897764,2.66234,17711.36151,227329.6372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
247,06073014804,San Diego,CA,4316,0.48,9236.9449,307.897764,2.66234,7412.542012,132170.3036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
248,06073014805,San Diego,CA,4064,0.5,9236.9449,307.897764,2.66234,7500.821203,164965.2344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
249,06073014806,San Diego,CA,2574,0.35,9236.9449,307.897764,2.66234,7144.579225,92390.5604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
250,06073008345,San Diego,CA,3406,0.75,9236.9449,307.897764,2.66234,22179.5004,21018289.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
251,06073008346,San Diego,CA,4873,4.53,7644,255,1,72243.38211,126496551.7,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1
252,06073008347,San Diego,CA,6511,0.89,9236.9449,307.897764,2.66234,34886.97871,24655150.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
253,06073008348,San Diego,CA,5356,0.77,9236.9449,307.897764,2.66234,24062.88512,21338359.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
254,06073008349,San Diego,CA,3466,0.37,9236.9449,307.897764,2.66234,17114.39691,10509328.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
255,06073008350,San Diego,CA,6384,6,20973,699,1,60263.74337,166847056.7,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,1
256,06073008351,San Diego,CA,4351,0.41,9236.9449,307.897764,2.66234,14499.86379,11273458.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
257,06073008352,San Diego,CA,3554,0.27,9236.9449,307.897764,2.66234,11115.58192,7527881.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
258,06073008355,San Diego,CA,3487,0.34,9236.9449,307.897764,2.66234,14913.51407,9601241.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
259,06073008356,San Diego,CA,3490,0.23,9236.9449,307.897764,2.66234,10704.67678,6603156.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
260,06073008357,San Diego,CA,5007,0.35,9236.9449,307.897764,2.66234,16831.52971,9525537.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
261,06073008358,San Diego,CA,6739,0.74,9236.9449,307.897764,2.66234,20313.72519,20472389.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
262,06073008359,San Diego,CA,3758,0.44,4715,157,1,15181.22633,12275903.07,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,1
263,06073008360,San Diego,CA,5867,1.08,9236.9449,307.897764,2.66234,24853.40514,29894360.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
264,06073008505,San Diego,CA,5824,1.14,9236.9449,307.897764,2.66234,25927.59424,31722394.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
265,06073008506,San Diego,CA,3964,0.5,9236.9449,307.897764,2.66234,16023.99322,13772543.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
266,06073008507,San Diego,CA,7727,0.86,2205,74,1,20578.91851,24181972.04,89,89,70,76,76,76,76,89,89,74,76,76,76,76,89,89,76,76,76,76,76,74,89,74,71,76,76,76,89,89,76,1
267,06073008511,San Diego,CA,3089,5.87,9236.9449,307.897764,2.66234,59407.41192,163480477.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
268,06073009400,San Diego,CA,4961,23.99,9236.9449,307.897764,2.66234,132867.7054,669056427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
269,06073009502,San Diego,CA,3728,1.32,9236.9449,307.897764,2.66234,25021.87068,36662269.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
270,06073009504,San Diego,CA,6588,22.61,9236.9449,307.897764,2.66234,154655.8509,629288830.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
271,06073009505,San Diego,CA,6397,6.78,9236.9449,307.897764,2.66234,64906.23578,188834630.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
272,06073017022,San Diego,CA,5230,1.72,9236.9449,307.897764,2.66234,31267.93505,43922935.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
273,06073017043,San Diego,CA,5922,1.16,9236.9449,307.897764,2.66234,25552.97131,32378668.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
274,06073017044,San Diego,CA,5607,0.93,9236.9449,307.897764,2.66234,27477.07561,25998318.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
275,06073017045,San Diego,CA,2840,0.75,9236.9449,307.897764,2.66234,25014.65791,14875098.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
276,06073017046,San Diego,CA,3698,1.45,9236.9449,307.897764,2.66234,27945.15871,40354188.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
277,06073017047,San Diego,CA,4090,0.83,9236.9449,307.897764,2.66234,23358.79535,22873751.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
278,06073009802,San Diego,CA,6146,0.76,9236.9449,307.897764,2.66234,19613.88785,20945259.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
279,06073009804,San Diego,CA,4810,0.7,9236.9449,307.897764,2.66234,19935.35277,19533602.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
280,06073014002,San Diego,CA,4589,0.82,9236.9449,307.897764,2.66234,1748.283666,8020.25943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
281,06073016100,San Diego,CA,5603,1.1,9236.9449,307.897764,2.66234,2475.974739,169171.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
282,06073016605,San Diego,CA,7672,2.29,9236.9449,307.897764,2.66234,28778.45074,808830.1616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
283,06073016606,San Diego,CA,3374,1.06,9236.9449,307.897764,2.66234,21817.42731,5709626.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
284,06073016612,San Diego,CA,6270,2.66,9236.9449,307.897764,2.66234,28949.9596,2810471.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
285,06073016901,San Diego,CA,6976,17.22,9236.9449,307.897764,2.66234,44897.44908,7359394.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
286,06073008328,San Diego,CA,6181,2.77,9236.9449,307.897764,2.66234,45900.85418,77078861.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
287,06073017106,San Diego,CA,5143,11.78,9236.9449,307.897764,2.66234,5290.725839,298528.5914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
288,06073008324,San Diego,CA,6685,2.11,15188,506,1,44630.80621,58351749.04,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,1
289,06073008327,San Diego,CA,5830,2.42,9236.9449,307.897764,2.66234,36787.60314,67651154.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
290,06073008329,San Diego,CA,6643,0.97,4779,159.5,2,23413.67879,27054045.36,184.5,159.5,159,176,188.5,159.5,188.5,159.5,176,163,167.5,184.5,159.5,154.5,159,150.5,146,154.5,154.5,154.5,146,154.5,146,146,159,180,176,159,193,180,163,2
291,06073008330,San Diego,CA,5688,0.59,9236.9449,307.897764,2.66234,15621.42976,16410164.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
292,06073008331,San Diego,CA,2572,0.37,9236.9449,307.897764,2.66234,13393.47443,10282612.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
293,06073017200,San Diego,CA,4362,1.74,9236.9449,307.897764,2.66234,21074.02488,602393.1597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
294,06073017304,San Diego,CA,5635,1.06,9236.9449,307.897764,2.66234,3211.996831,635277.8396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
295,06073017306,San Diego,CA,2815,1.81,9236.9449,307.897764,2.66234,21253.61906,7096459.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
296,06073008335,San Diego,CA,11270,1.72,9236.9449,307.897764,2.66234,36139.89603,47976413.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
297,06073008336,San Diego,CA,2373,0.32,9236.9449,307.897764,2.66234,14089.98235,9098424.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
298,06073008337,San Diego,CA,4446,0.62,9236.9449,307.897764,2.66234,16758.88122,17052462.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
299,06073008353,San Diego,CA,5095,0.75,9236.9449,307.897764,2.66234,21287.46572,20952935.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
300,06073008354,San Diego,CA,5981,1.14,9236.9449,307.897764,2.66234,28947.87763,31799540.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
301,06073008365,San Diego,CA,3083,0.91,9236.9449,307.897764,2.66234,32666.44207,25376008.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
302,06073008366,San Diego,CA,6139,2.32,9236.9449,307.897764,2.66234,41074.8251,64920029.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
303,06073017006,San Diego,CA,3026,0.99,9236.9449,307.897764,2.66234,8320.257061,3117352.372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
304,06073017014,San Diego,CA,2468,0.78,9236.9449,307.897764,2.66234,24437.06524,21828672.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
305,06073017018,San Diego,CA,4128,0.7,9236.9449,307.897764,2.66234,29945.02978,19262380.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
306,06073017029,San Diego,CA,9368,11.8,9236.9449,307.897764,2.66234,98021.30237,174794918.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
307,06073017031,San Diego,CA,3797,0.41,9236.9449,307.897764,2.66234,14743.35546,11459649.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
308,06073017032,San Diego,CA,13992,3.94,9236.9449,307.897764,2.66234,46950.7096,50696629.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
309,06073017033,San Diego,CA,4844,3.5,9236.9449,307.897764,2.66234,44705.91532,97489431.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
310,06073017034,San Diego,CA,4703,1.04,9236.9449,307.897764,2.66234,26957.57117,29197868.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
311,06073017035,San Diego,CA,2622,0.92,9236.9449,307.897764,2.66234,24440.10131,25787287.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
312,06073017036,San Diego,CA,3269,0.38,9236.9449,307.897764,2.66234,14614.37738,10621745.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
313,06073017037,San Diego,CA,5902,1.21,9236.9449,307.897764,2.66234,24236.91672,33845749.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
314,06073017039,San Diego,CA,6727,1.84,9236.9449,307.897764,2.66234,49158.47915,50465341.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
315,06073017042,San Diego,CA,7928,2.21,9236.9449,307.897764,2.66234,40463.38835,51175510.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
316,06073017049,San Diego,CA,2829,4.16,9236.9449,307.897764,2.66234,26583.6507,417371.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
317,06073017050,San Diego,CA,2965,1.94,9236.9449,307.897764,2.66234,28834.22213,1758109.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
318,06073017051,San Diego,CA,4643,0.97,9236.9449,307.897764,2.66234,31166.38888,26644889.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
319,06073017052,San Diego,CA,4707,0.84,9236.9449,307.897764,2.66234,22846.26968,23632172.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
320,06073017055,San Diego,CA,5680,0.8,9236.9449,307.897764,2.66234,21973.95075,22164018.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
321,06073017056,San Diego,CA,4004,1.07,4770,159,1,32207.00752,29528524.01,184,186,161,161,161,161,161,183,185,161,161,161,161,161,183,186,161,161,159,161,161,184,186,161,161,161,161,161,179,251,234,1
322,06073021500,San Diego,CA,8958,4.86,6503,217,1,56627.22895,135518049.9,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,1
323,06073017015,San Diego,CA,7124,1.83,9236.9449,307.897764,2.66234,33412.61607,50921549.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
324,06073017019,San Diego,CA,5990,2.41,9236.9449,307.897764,2.66234,53258.97578,66927213.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
325,06073017030,San Diego,CA,20444,13.27,9236.9449,307.897764,2.66234,125628.1863,134592546.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
326,06073017110,San Diego,CA,11553,17.98,9236.9449,307.897764,2.66234,22482.47113,8282359.663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
327,06073020401,San Diego,CA,2403,3.86,9236.9449,307.897764,2.66234,59450.58374,34841142.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
328,06073020706,San Diego,CA,6341,6.44,9236.9449,307.897764,2.66234,33979.1053,5717197.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
329,06073017010,San Diego,CA,3174,5.92,9236.9449,307.897764,2.66234,8584.706831,974015.4483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
330,06073017020,San Diego,CA,3719,11.18,9236.9449,307.897764,2.66234,28468.71084,1939447.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
331,06073020709,San Diego,CA,8353,41.51,9236.9449,307.897764,2.66234,101848.4573,129397907.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
332,06073020710,San Diego,CA,1745,9.88,9236.9449,307.897764,2.66234,117976.5241,207285321.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
333,06073020801,San Diego,CA,5246,52.3,9236.9449,307.897764,2.66234,55735.69219,33803486.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
334,06073020807,San Diego,CA,2800,36.85,9236.9449,307.897764,2.66234,11964.91048,3573538.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0