hotel,hotel_location,price_30_night,price_1_night,lat,long,score,review_count,Comment,satisfier,non_satisfier
San Diego Marriott Del Mar,"Carmel Valley, San Diego","5,370",179,32.93542842,-117.2389993,8.4,598,Good,0.731,-0.366
California Suites Hotel,San Diego,"2,205",74,32.83410645,-117.1749777,6.9,2091,Good,0.42,-0.542
Days Inn by Wyndham San Diego Hotel Circle,"Mission Valley, San Diego","3,489",116,32.76039321,-117.1671818,7.4,3003,Good,,
Gaslamp Hostel,"Downtown San Diego, San Diego","1,272",42,32.712955,-117.160425,8.6,1526,Good,,
Travelodge by Wyndham San Diego SeaWorld,"Midway-Pacific Highway, San Diego","2,687",90,32.74727605,-117.2069711,5.5,398,Good,,
RK Hostel,"Downtown San Diego, San Diego","1,200",40,32.72681864,-117.1683848,5.2,256,Good,,
Mission Bay Inn San Diego,San Diego,"3,371",112,32.78953,-117.204016,7,823,Good,,
La Quinta by Wyndham San Diego Mission Bay,"Pacific Beach, San Diego","4,415",147,32.80724279,-117.2179755,7.6,1100,Good,,
Sonesta ES Suites Carmel Mountain - San Diego,San Diego,"4,770",159,32.97721761,-117.0838335,8.3,330,Good,,
Days Inn by Wyndham Mission Valley-SDSU,San Diego,"2,921",97,32.78187163,-117.0842546,5.9,2520,Good,,
Wyndham Garden San Diego,"Midway-Pacific Highway, San Diego","3,905",130,32.75408188,-117.2154321,7.1,1730,Good,,
Sunrise Inn San Diego,"Point Loma, San Diego","2,672",89,32.72227366,-117.2314167,5.6,495,Good,,
Sands Of La Jolla,"La Jolla, San Diego","4,035",135,32.811563,-117.266638,8.6,2131,Good,,
Sheraton La Jolla,"La Jolla, San Diego","6,220",207,32.87027012,-117.2308078,7.8,459,Good,,
Ramada by Wyndham near SeaWorld / Mission Beach,"Midway-Pacific Highway, San Diego","5,141",171,32.75322807,-117.2170749,7,824,Good,,
Best Western Plus Hacienda Hotel Old Town,"Old Town, San Diego","6,035",201,32.75336116,-117.1943191,7.9,1603,Good,,
Comfort Inn San Diego Airport At The Harbor,"Point Loma, San Diego","3,971",132,32.72578026,-117.2276563,7.1,246,Good,,
Ocean Villa Inn,"Ocean Beach, San Diego","4,442",148,32.754162,-117.249179,7.6,1569,Good,,
PB Surf Beachside Inn,"Pacific Beach, San Diego","4,657",155,32.80048725,-117.2568628,7.3,311,Good,,
HI San Diego Downtown Hostel,"Downtown San Diego, San Diego","2,941",98,32.71137727,-117.1596958,8,1163,Good,,
EZ 8 Motel Old Town,San Diego,"2,576",86,32.75817708,-117.2017461,5.6,3014,Good,,
The Atwood Hotel San Diego - SeaWorld/Zoo,"Mission Valley, San Diego","3,391",113,32.76862896,-117.1817695,7.3,1761,Good,,
The Wayfarer San Diego,"Mission Beach, San Diego","8,168",272,32.76843836,-117.1808885,8.4,1404,Good,,
Residence Inn San Diego La Jolla,"La Jolla, San Diego","6,224",207,32.87040303,-117.2368079,8.5,338,Good,,
Pacific Shores Inn,"Pacific Beach, San Diego","5,499",183,32.80133158,-117.2578593,7.4,595,Good,,
Hotel Point Loma,"Point Loma, San Diego","2,599",87,32.72468136,-117.2287747,7.3,304,Good,,
Ocean Beach Hotel,"Ocean Beach, San Diego","6,460",215,32.74785428,-117.2522957,8,410,Good,,
Del Mar Beach Hotel,"Del Mar , San Diego","7,000",233,32.962651,-117.267558,9.2,361,Good,,
Quality Inn San Diego I-5 Naval Base,San Diego,"3,662",122,32.75740814,-117.116684,7.5,249,Good,,
Howard Johnson by Wyndham San Diego Sea World,"Midway-Pacific Highway, San Diego","4,370",146,32.80133158,-117.2578593,6.9,3996,Good,,
Lodge at 32nd,San Diego,"3,345",112,32.72468136,-117.2287747,7.5,216,Good,,
Downtown San Diego Lodge,"Downtown San Diego, San Diego","3,761",125,32.8032486,-117.0499613,5.9,486,Good,,
Hotel Occidental Balboa Park Downtown,"Downtown San Diego, San Diego","4,546",152,32.962651,-117.267558,7.6,273,Good,,
La Quinta by Wyndham San Diego SeaWorld/Zoo Area,"Mission Valley, San Diego","5,817",194,32.76352728,-117.1584821,6,2604,Good,,
Pacific Terrace Hotel,"Pacific Beach, San Diego","10,348",345,32.79953582,-117.2579116,8.9,702,Good,,
The Dana on Mission Bay,"Mission Bay, San Diego","6,390",213,32.766241,-117.237525,8,1114,Good,,
The Shoal Hotel La Jolla Beach,"La Jolla, San Diego","6,592",220,32.830344,-117.276871,8.1,742,Good,,
Baymont by Wyndham San Diego Downtown,"Downtown San Diego, San Diego","5,433",181,32.71978917,-117.1579108,6.8,1997,Good,,
Comfort Inn San Diego Old Town,"Old Town, San Diego","4,347",145,32.749062,-117.194528,6.8,430,Good,,
Empress Hotel La Jolla,"La Jolla, San Diego","6,955",232,32.84467584,-117.275476,8.1,312,Good,,
Old Town Western Inn,"Old Town, San Diego","3,919",131,32.74974286,-117.1945819,6.8,449,Good,,
Hotel Iris - Mission Valley-San Diego Zoo-SeaWorld,"Mission Valley, San Diego","2,621",87,32.76016427,-117.1692324,5.6,1608,Good,,
Days Inn by Wyndham San Diego/Downtown/Convention Center,"Downtown San Diego, San Diego","5,911",197,32.71964926,-117.1569076,6,1074,Good,,
Porto Vista Hotel In Little Italy,"Downtown San Diego, San Diego","8,010",267,32.72446474,-117.1675721,6.1,1823,Good,,
Azure Loft,San Diego,"7,732",258,32.6946967,-117.1021639,8.1,241,Good,,
The Sand Castle,"Mission Beach, San Diego","24,395",813,32.779221,-117.2531192,8.2,1074,Good,,
Rodeway Inn San Diego Mission Valley/SDSU,San Diego,"3,345",112,32.78146682,-117.0823409,6.4,572,Good,,
Howard Johnson by Wyndham San Diego Hotel Circle,"Mission Valley, San Diego","4,184",139,32.76137386,-117.1792379,5.6,752,Good,,
Ramada by Wyndham San Diego Airport,"Point Loma, San Diego","4,667",156,32.72529519,-117.2284155,6.8,399,Good,,
Catamaran Resort Hotel and Spa,"Mission Bay, San Diego","7,860",262,32.79049249,-117.2524107,7.2,331,Good,,
Estancia La Jolla Hotel & Spa,"La Jolla, San Diego","11,790",393,32.88503376,-117.244877,8.4,270,Good,,
Best Western Premier Hotel Del Mar,"Del Mar , San Diego","5,525",184,32.95158785,-117.262825,8.5,778,Good,,
Pacific View Inn,"Pacific Beach, San Diego","7,448",248,32.7985981,-117.256968,7.4,386,Good,,
"Inn by the Sea, La Jolla","La Jolla, San Diego","8,486",283,32.84573261,-117.2758033,8.4,1759,Good,,
Crown City Inn Coronado,"Coronado, San Diego","7,304",243,32.69302728,-117.1761522,9,231,Good,,
Legacy Resort Hotel & Spa,"Mission Valley, San Diego","12,931",431,32.75857811,-117.1704855,8.7,351,Good,,
Grande Colonial La Jolla,"La Jolla, San Diego","11,930",398,32.84740912,-117.2752873,8.7,227,Good,,
The Inn at Sunset Cliffs,"Point Loma, San Diego","9,190",306,32.73647054,-117.2550773,8.7,273,Good,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,57082,,,